Epoch,Discriminator_Real_Img_Dicision,Discriminator_Fake_Img_Dicision,Discriminator_Loss,Generator_Loss
49,"tf.Tensor(
[[15.364308 ]
 [ 8.115351 ]
 [ 2.7253907]
 [ 3.76185  ]
 [12.054523 ]
 [ 9.050967 ]
 [11.8148365]
 [ 2.4269648]
 [ 8.265448 ]
 [ 7.3767734]
 [ 7.2404838]
 [ 2.392244 ]
 [ 7.878006 ]
 [ 1.4909728]
 [ 2.100253 ]
 [ 7.4111147]], shape=(16, 1), dtype=float32)",-6.507263660430908,0.03774850815534592,6.508755207061768
50,"tf.Tensor(
[[ 3.5878263 ]
 [ 8.64626   ]
 [ 6.3044305 ]
 [12.8994255 ]
 [ 4.7182283 ]
 [ 6.2931414 ]
 [24.327806  ]
 [ 5.6708803 ]
 [13.248395  ]
 [13.658796  ]
 [ 2.6785715 ]
 [22.718428  ]
 [ 7.6620517 ]
 [-0.05335695]
 [ 6.874841  ]
 [ 2.7420995 ]], shape=(16, 1), dtype=float32)",-1.9145927429199219,0.1933753490447998,2.0520927906036377
51,"tf.Tensor(
[[ 4.7528195 ]
 [ 5.3709064 ]
 [ 3.6069055 ]
 [ 8.107269  ]
 [ 3.1877139 ]
 [ 8.299621  ]
 [-1.5735768 ]
 [10.757413  ]
 [ 8.112954  ]
 [ 7.015261  ]
 [ 0.66915727]
 [ 3.6644669 ]
 [ 1.9762222 ]
 [-0.36711597]
 [-0.23131265]
 [ 9.5989065 ]], shape=(16, 1), dtype=float32)",-4.356842994689941,0.27034926414489746,4.369580268859863
52,"tf.Tensor(
[[ 3.6521683]
 [ 6.9843736]
 [ 4.6663623]
 [11.571124 ]
 [21.837906 ]
 [ 8.354925 ]
 [ 7.533631 ]
 [-2.436307 ]
 [ 1.4324695]
 [ 2.4341335]
 [ 1.3194703]
 [10.619381 ]
 [-1.206695 ]
 [ 8.733249 ]
 [ 2.5988815]
 [ 5.4349866]], shape=(16, 1), dtype=float32)",-4.253394603729248,0.3038986325263977,4.267510414123535
53,"tf.Tensor(
[[ 9.02656   ]
 [ 5.144916  ]
 [ 1.0134583 ]
 [ 5.4046283 ]
 [14.829556  ]
 [ 0.30230743]
 [ 0.42019475]
 [ 4.4760194 ]
 [ 4.2185287 ]
 [ 4.2309256 ]
 [12.898227  ]
 [ 2.1452928 ]
 [ 4.8414645 ]
 [ 3.1877806 ]
 [ 7.014039  ]
 [ 2.7588017 ]], shape=(16, 1), dtype=float32)",-5.4439215660095215,0.10681891441345215,5.448234558105469
54,"tf.Tensor(
[[ 2.9412658 ]
 [-1.3320322 ]
 [ 7.979474  ]
 [ 1.3266385 ]
 [-0.77115643]
 [-1.7201129 ]
 [ 3.2520769 ]
 [ 0.10899457]
 [ 3.540841  ]
 [ 4.719055  ]
 [ 0.24956   ]
 [13.360101  ]
 [ 1.1721934 ]
 [ 2.1730435 ]
 [-1.5734651 ]
 [-0.66063476]], shape=(16, 1), dtype=float32)",-6.857870101928711,0.5884096622467041,6.858920574188232
55,"tf.Tensor(
[[ 5.693813  ]
 [-1.5237608 ]
 [ 1.2906774 ]
 [ 7.6071935 ]
 [-5.094065  ]
 [-2.1927314 ]
 [ 1.5228058 ]
 [-3.959304  ]
 [ 1.9617342 ]
 [17.787363  ]
 [-4.4763193 ]
 [ 0.19855973]
 [ 5.4817033 ]
 [ 5.271251  ]
 [-6.872382  ]
 [ 8.314673  ]], shape=(16, 1), dtype=float32)",-7.135471343994141,1.6034767627716064,7.136267185211182
56,"tf.Tensor(
[[ 6.4497247]
 [ 4.8557906]
 [ 5.4361997]
 [13.497184 ]
 [ 4.1430817]
 [ 0.0819089]
 [ 1.769471 ]
 [ 4.29723  ]
 [14.864032 ]
 [-1.010137 ]
 [ 2.1603463]
 [ 1.7697363]
 [ 2.5053334]
 [ 4.8162866]
 [ 2.8661284]
 [ 0.7666262]], shape=(16, 1), dtype=float32)",-2.3452706336975098,0.2767500877380371,2.436774730682373
57,"tf.Tensor(
[[12.376301 ]
 [ 1.1671978]
 [ 5.5444956]
 [ 2.9607587]
 [ 3.4856534]
 [ 5.665755 ]
 [ 3.2628317]
 [11.242256 ]
 [ 6.8784246]
 [21.074867 ]
 [ 2.3442242]
 [ 5.253075 ]
 [ 6.957163 ]
 [ 6.9136295]
 [ 6.7701283]
 [ 4.064225 ]], shape=(16, 1), dtype=float32)",-5.324145317077637,0.037019092589616776,5.329006195068359
58,"tf.Tensor(
[[ 1.0762136 ]
 [ 2.0412557 ]
 [-0.7965623 ]
 [ 8.017524  ]
 [ 1.0138973 ]
 [ 0.8765149 ]
 [ 1.6282755 ]
 [ 7.9332905 ]
 [ 4.3991985 ]
 [-0.05692632]
 [ 2.738934  ]
 [ 0.5557735 ]
 [-0.573779  ]
 [ 0.6673627 ]
 [-0.2705605 ]
 [12.766247  ]], shape=(16, 1), dtype=float32)",-5.9705963134765625,0.37405985593795776,5.973145961761475
